difficulty,source_type,metric,sample_size,mean,std,median,min,max
intermediate-advanced,AI,code_quality_metrics.starter_code_avg_function_loc,1,4.0,,4.0,4.0,4.0
intermediate-advanced,AI,code_quality_metrics.starter_code_comment_line_ratio,1,0.3,,0.3,0.3,0.3
intermediate-advanced,AI,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
intermediate-advanced,AI,code_quality_metrics.starter_code_function_count,1,1.0,,1.0,1.0,1.0
intermediate-advanced,AI,code_quality_metrics.starter_code_loc_total,1,30.0,,30.0,30.0,30.0
intermediate-advanced,AI,code_quality_metrics.starter_code_max_function_loc,1,4.0,,4.0,4.0,4.0
intermediate-advanced,AI,code_quality_metrics.starter_code_mccabe_max,1,1.0,,1.0,1.0,1.0
intermediate-advanced,AI,code_quality_metrics.starter_code_mi,1,96.5804,,96.5804,96.5804,96.5804
intermediate-advanced,AI,code_quality_metrics.starter_code_pylint_warning_count,1,8.0,,8.0,8.0,8.0
intermediate-advanced,AI,code_quality_metrics.starter_code_ruff_error_count,1,3.0,,3.0,3.0,3.0
intermediate-advanced,AI,instruction_metrics.avg_sentence_length,1,24.25,,24.25,24.25,24.25
intermediate-advanced,AI,instruction_metrics.flesch_kincaid_grade,1,15.9311,,15.9311,15.9311,15.9311
intermediate-advanced,AI,instruction_metrics.flesch_reading_ease,1,29.3799,,29.3799,29.3799,29.3799
intermediate-advanced,AI,instruction_metrics.instruction_completeness_ratio,1,1.0,,1.0,1.0,1.0
intermediate-advanced,AI,instruction_metrics.max_sentence_length,1,58.0,,58.0,58.0,58.0
intermediate-advanced,AI,instruction_metrics.technical_term_density_instruction,1,0.0103,,0.0103,0.0103,0.0103
intermediate-advanced,AI,instruction_metrics.var_sentence_length,1,408.1875,,408.1875,408.1875,408.1875
intermediate-advanced,AI,structure_metrics.structure_completeness_ratio,1,1.0,,1.0,1.0,1.0
intermediate-advanced,AI,structure_metrics.structure_score_weighted,1,1.0,,1.0,1.0,1.0
intermediate-advanced,Expert,instruction_metrics.avg_sentence_length,1,22.0,,22.0,22.0,22.0
intermediate-advanced,Expert,instruction_metrics.flesch_kincaid_grade,1,16.8582,,16.8582,16.8582,16.8582
intermediate-advanced,Expert,instruction_metrics.flesch_reading_ease,1,13.3823,,13.3823,13.3823,13.3823
intermediate-advanced,Expert,instruction_metrics.instruction_completeness_ratio,1,0.6667,,0.6667,0.6667,0.6667
intermediate-advanced,Expert,instruction_metrics.max_sentence_length,1,35.0,,35.0,35.0,35.0
intermediate-advanced,Expert,instruction_metrics.technical_term_density_instruction,1,0.0,,0.0,0.0,0.0
intermediate-advanced,Expert,instruction_metrics.var_sentence_length,1,169.0,,169.0,169.0,169.0
intermediate-advanced,Expert,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
intermediate-advanced,Expert,structure_metrics.structure_score_weighted,1,0.8778,,0.8778,0.8778,0.8778
