difficulty,source_type,metric,sample_size,mean,std,median,min,max
intermediate,AI,code_quality_metrics.starter_code_avg_function_loc,1,4.0,,4.0,4.0,4.0
intermediate,AI,code_quality_metrics.starter_code_comment_line_ratio,1,0.1364,,0.1364,0.1364,0.1364
intermediate,AI,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
intermediate,AI,code_quality_metrics.starter_code_function_count,1,2.0,,2.0,2.0,2.0
intermediate,AI,code_quality_metrics.starter_code_loc_total,1,22.0,,22.0,22.0,22.0
intermediate,AI,code_quality_metrics.starter_code_max_function_loc,1,4.0,,4.0,4.0,4.0
intermediate,AI,code_quality_metrics.starter_code_mccabe_max,1,2.0,,2.0,2.0,2.0
intermediate,AI,code_quality_metrics.starter_code_mi,1,84.99,,84.99,84.99,84.99
intermediate,AI,code_quality_metrics.starter_code_pylint_warning_count,1,11.0,,11.0,11.0,11.0
intermediate,AI,code_quality_metrics.starter_code_ruff_error_count,1,1.0,,1.0,1.0,1.0
intermediate,AI,instruction_metrics.avg_sentence_length,1,12.6667,,12.6667,12.6667,12.6667
intermediate,AI,instruction_metrics.flesch_kincaid_grade,1,11.8248,,11.8248,11.8248,11.8248
intermediate,AI,instruction_metrics.flesch_reading_ease,1,38.0702,,38.0702,38.0702,38.0702
intermediate,AI,instruction_metrics.instruction_completeness_ratio,1,1.0,,1.0,1.0,1.0
intermediate,AI,instruction_metrics.max_sentence_length,1,30.0,,30.0,30.0,30.0
intermediate,AI,instruction_metrics.technical_term_density_instruction,1,0.0132,,0.0132,0.0132,0.0132
intermediate,AI,instruction_metrics.var_sentence_length,1,119.5556,,119.5556,119.5556,119.5556
intermediate,AI,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
intermediate,AI,structure_metrics.structure_score_weighted,1,0.8667,,0.8667,0.8667,0.8667
intermediate,Expert,instruction_metrics.avg_sentence_length,1,9.0,,9.0,9.0,9.0
intermediate,Expert,instruction_metrics.flesch_kincaid_grade,1,11.52,,11.52,11.52,11.52
intermediate,Expert,instruction_metrics.flesch_reading_ease,1,28.5,,28.5,28.5,28.5
intermediate,Expert,instruction_metrics.instruction_completeness_ratio,1,0.3333,,0.3333,0.3333,0.3333
intermediate,Expert,instruction_metrics.max_sentence_length,1,9.0,,9.0,9.0,9.0
intermediate,Expert,instruction_metrics.technical_term_density_instruction,1,0.1111,,0.1111,0.1111,0.1111
intermediate,Expert,instruction_metrics.var_sentence_length,1,0.0,,0.0,0.0,0.0
intermediate,Expert,structure_metrics.structure_completeness_ratio,1,0.625,,0.625,0.625,0.625
intermediate,Expert,structure_metrics.structure_score_weighted,1,0.6333,,0.6333,0.6333,0.6333
intermediate-advanced,AI,code_quality_metrics.starter_code_avg_function_loc,3,20.666666666666668,3.8837267325770144,19.5,17.5,25.0
intermediate-advanced,AI,code_quality_metrics.starter_code_comment_line_ratio,3,0.2779333333333333,0.06789671076961926,0.3095,0.2,0.3243
intermediate-advanced,AI,code_quality_metrics.starter_code_docstring_count,3,0.6666666666666666,0.5773502691896258,1.0,0.0,1.0
intermediate-advanced,AI,code_quality_metrics.starter_code_function_count,3,1.6666666666666667,0.5773502691896257,2.0,1.0,2.0
intermediate-advanced,AI,code_quality_metrics.starter_code_loc_total,3,34.666666666666664,8.736894948054106,37.0,25.0,42.0
