difficulty,source_type,metric,sample_size,mean,std,median,min,max
beginner-intermediate,AI,code_quality_metrics.starter_code_avg_function_loc,1,6.75,,6.75,6.75,6.75
beginner-intermediate,AI,code_quality_metrics.starter_code_comment_line_ratio,1,0.1129,,0.1129,0.1129,0.1129
beginner-intermediate,AI,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
beginner-intermediate,AI,code_quality_metrics.starter_code_function_count,1,4.0,,4.0,4.0,4.0
beginner-intermediate,AI,code_quality_metrics.starter_code_loc_total,1,62.0,,62.0,62.0,62.0
beginner-intermediate,AI,code_quality_metrics.starter_code_max_function_loc,1,8.0,,8.0,8.0,8.0
beginner-intermediate,AI,code_quality_metrics.starter_code_mccabe_max,1,1.0,,1.0,1.0,1.0
beginner-intermediate,AI,code_quality_metrics.starter_code_mi,1,79.6363,,79.6363,79.6363,79.6363
beginner-intermediate,AI,code_quality_metrics.starter_code_pylint_warning_count,1,9.0,,9.0,9.0,9.0
beginner-intermediate,AI,code_quality_metrics.starter_code_ruff_error_count,1,0.0,,0.0,0.0,0.0
beginner-intermediate,AI,instruction_metrics.avg_sentence_length,1,27.25,,27.25,27.25,27.25
beginner-intermediate,AI,instruction_metrics.flesch_kincaid_grade,1,12.5355,,12.5355,12.5355,12.5355
beginner-intermediate,AI,instruction_metrics.flesch_reading_ease,1,38.7333,,38.7333,38.7333,38.7333
beginner-intermediate,AI,instruction_metrics.instruction_completeness_ratio,1,1.0,,1.0,1.0,1.0
beginner-intermediate,AI,instruction_metrics.max_sentence_length,1,45.0,,45.0,45.0,45.0
beginner-intermediate,AI,instruction_metrics.technical_term_density_instruction,1,0.0092,,0.0092,0.0092,0.0092
beginner-intermediate,AI,instruction_metrics.var_sentence_length,1,176.1875,,176.1875,176.1875,176.1875
beginner-intermediate,AI,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
beginner-intermediate,AI,structure_metrics.structure_score_weighted,1,0.8667,,0.8667,0.8667,0.8667
beginner-intermediate,Expert,code_quality_metrics.starter_code_avg_function_loc,1,21.0,,21.0,21.0,21.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_comment_line_ratio,1,0.0,,0.0,0.0,0.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_function_count,1,1.0,,1.0,1.0,1.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_loc_total,1,21.0,,21.0,21.0,21.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_max_function_loc,1,21.0,,21.0,21.0,21.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_mccabe_max,1,2.0,,2.0,2.0,2.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_mi,1,76.5547,,76.5547,76.5547,76.5547
beginner-intermediate,Expert,code_quality_metrics.starter_code_pylint_warning_count,1,3.0,,3.0,3.0,3.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_ruff_error_count,1,7.0,,7.0,7.0,7.0
beginner-intermediate,Expert,instruction_metrics.avg_sentence_length,1,12.5,,12.5,12.5,12.5
beginner-intermediate,Expert,instruction_metrics.flesch_kincaid_grade,1,8.1111,,8.1111,8.1111,8.1111
beginner-intermediate,Expert,instruction_metrics.flesch_reading_ease,1,59.7676,,59.7676,59.7676,59.7676
beginner-intermediate,Expert,instruction_metrics.instruction_completeness_ratio,1,0.8333,,0.8333,0.8333,0.8333
beginner-intermediate,Expert,instruction_metrics.max_sentence_length,1,17.0,,17.0,17.0,17.0
beginner-intermediate,Expert,instruction_metrics.technical_term_density_instruction,1,0.0,,0.0,0.0,0.0
beginner-intermediate,Expert,instruction_metrics.var_sentence_length,1,13.9167,,13.9167,13.9167,13.9167
beginner-intermediate,Expert,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
beginner-intermediate,Expert,structure_metrics.structure_score_weighted,1,0.8778,,0.8778,0.8778,0.8778
intermediate,AI,code_quality_metrics.starter_code_avg_function_loc,5,1.2,2.6832815729997477,0.0,0.0,6.0
intermediate,AI,code_quality_metrics.starter_code_comment_line_ratio,5,0.30856,0.09739637056892829,0.3448,0.1795,0.4118
intermediate,AI,code_quality_metrics.starter_code_docstring_count,5,0.0,0.0,0.0,0.0,0.0
intermediate,AI,code_quality_metrics.starter_code_function_count,5,0.6,1.3416407864998738,0.0,0.0,3.0
intermediate,AI,code_quality_metrics.starter_code_loc_total,5,30.8,8.497058314499201,34.0,17.0,39.0
intermediate,AI,code_quality_metrics.starter_code_max_function_loc,5,1.6,3.5777087639996643,0.0,0.0,8.0
intermediate,AI,code_quality_metrics.starter_code_mccabe_max,1,2.0,,2.0,2.0,2.0
intermediate,AI,code_quality_metrics.starter_code_mi,5,97.73158,5.072341321520073,100.0,88.6579,100.0
intermediate,AI,code_quality_metrics.starter_code_pylint_warning_count,5,6.6,3.4351128074635335,5.0,4.0,12.0
intermediate,AI,code_quality_metrics.starter_code_ruff_error_count,5,2.4,1.140175425099138,2.0,1.0,4.0
intermediate,AI,instruction_metrics.avg_sentence_length,5,19.8,2.9601257481735463,20.4,16.3333,23.6667
intermediate,AI,instruction_metrics.flesch_kincaid_grade,5,11.875620000000001,1.294908348880337,11.6542,10.1066,13.3115
intermediate,AI,instruction_metrics.flesch_reading_ease,5,38.401959999999995,6.625762091110729,35.5604,32.5764,48.5568
intermediate,AI,instruction_metrics.instruction_completeness_ratio,5,0.9666599999999999,0.07455050636984298,1.0,0.8333,1.0
intermediate,AI,instruction_metrics.max_sentence_length,5,27.0,3.1622776601683795,28.0,22.0,30.0
intermediate,AI,instruction_metrics.technical_term_density_instruction,5,0.01928,0.008044066135978745,0.0189,0.0098,0.0306
intermediate,AI,instruction_metrics.var_sentence_length,5,32.60356,20.340584067523725,24.2222,13.04,61.44
intermediate,AI,structure_metrics.structure_completeness_ratio,5,0.875,0.0,0.875,0.875,0.875
intermediate,AI,structure_metrics.structure_score_weighted,5,0.8667,0.0,0.8667,0.8667,0.8667
intermediate,Expert,code_quality_metrics.starter_code_avg_function_loc,3,0.0,0.0,0.0,0.0,0.0
intermediate,Expert,code_quality_metrics.starter_code_comment_line_ratio,3,0.0,0.0,0.0,0.0,0.0
intermediate,Expert,code_quality_metrics.starter_code_docstring_count,3,0.0,0.0,0.0,0.0,0.0
intermediate,Expert,code_quality_metrics.starter_code_function_count,3,0.0,0.0,0.0,0.0,0.0
intermediate,Expert,code_quality_metrics.starter_code_loc_total,3,12.333333333333334,0.5773502691896257,12.0,12.0,13.0
intermediate,Expert,code_quality_metrics.starter_code_max_function_loc,3,0.0,0.0,0.0,0.0,0.0
intermediate,Expert,code_quality_metrics.starter_code_mi,3,100.0,0.0,100.0,100.0,100.0
intermediate,Expert,code_quality_metrics.starter_code_pylint_warning_count,3,2.3333333333333335,0.5773502691896258,2.0,2.0,3.0
intermediate,Expert,code_quality_metrics.starter_code_ruff_error_count,3,14.333333333333334,2.3094010767585034,13.0,13.0,17.0
intermediate,Expert,instruction_metrics.avg_sentence_length,5,13.133339999999999,4.913689268055114,16.3333,6.6667,17.0
intermediate,Expert,instruction_metrics.flesch_kincaid_grade,5,9.350579999999999,2.894993983931573,9.0871,5.89,13.8984
intermediate,Expert,instruction_metrics.flesch_reading_ease,5,49.57504,15.59743323845305,50.4333,24.5097,64.7083
intermediate,Expert,instruction_metrics.instruction_completeness_ratio,5,0.5,0.1667,0.5,0.3333,0.6667
intermediate,Expert,instruction_metrics.max_sentence_length,5,16.2,4.08656334834051,18.0,11.0,21.0
intermediate,Expert,instruction_metrics.technical_term_density_instruction,5,0.00988,0.013930972686786806,0.0,0.0,0.0294
intermediate,Expert,instruction_metrics.var_sentence_length,5,8.93334,6.720885578776059,10.8889,0.8889,16.0
intermediate,Expert,structure_metrics.structure_completeness_ratio,5,0.725,0.13693063937629152,0.625,0.625,0.875
intermediate,Expert,structure_metrics.structure_score_weighted,5,0.7311,0.13391816531001313,0.6333,0.6333,0.8778
