difficulty,source_type,metric,sample_size,mean,std,median,min,max
beginner-intermediate,AI,code_quality_metrics.starter_code_avg_function_loc,1,1.0,,1.0,1.0,1.0
beginner-intermediate,AI,code_quality_metrics.starter_code_comment_line_ratio,1,0.1905,,0.1905,0.1905,0.1905
beginner-intermediate,AI,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
beginner-intermediate,AI,code_quality_metrics.starter_code_function_count,1,4.0,,4.0,4.0,4.0
beginner-intermediate,AI,code_quality_metrics.starter_code_loc_total,1,21.0,,21.0,21.0,21.0
beginner-intermediate,AI,code_quality_metrics.starter_code_max_function_loc,1,1.0,,1.0,1.0,1.0
beginner-intermediate,AI,code_quality_metrics.starter_code_mccabe_max,1,1.0,,1.0,1.0,1.0
beginner-intermediate,AI,code_quality_metrics.starter_code_mi,1,83.6463,,83.6463,83.6463,83.6463
beginner-intermediate,AI,code_quality_metrics.starter_code_pylint_warning_count,1,15.0,,15.0,15.0,15.0
beginner-intermediate,AI,code_quality_metrics.starter_code_ruff_error_count,1,1.0,,1.0,1.0,1.0
beginner-intermediate,AI,instruction_metrics.avg_sentence_length,1,19.75,,19.75,19.75,19.75
beginner-intermediate,AI,instruction_metrics.flesch_kincaid_grade,1,12.021,,12.021,12.021,12.021
beginner-intermediate,AI,instruction_metrics.flesch_reading_ease,1,32.0323,,32.0323,32.0323,32.0323
beginner-intermediate,AI,instruction_metrics.instruction_completeness_ratio,1,1.0,,1.0,1.0,1.0
beginner-intermediate,AI,instruction_metrics.max_sentence_length,1,23.0,,23.0,23.0,23.0
beginner-intermediate,AI,instruction_metrics.technical_term_density_instruction,1,0.0127,,0.0127,0.0127,0.0127
beginner-intermediate,AI,instruction_metrics.var_sentence_length,1,11.6875,,11.6875,11.6875,11.6875
beginner-intermediate,AI,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
beginner-intermediate,AI,structure_metrics.structure_score_weighted,1,0.8667,,0.8667,0.8667,0.8667
beginner-intermediate,Expert,code_quality_metrics.starter_code_avg_function_loc,1,21.0,,21.0,21.0,21.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_comment_line_ratio,1,0.0,,0.0,0.0,0.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_function_count,1,1.0,,1.0,1.0,1.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_loc_total,1,21.0,,21.0,21.0,21.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_max_function_loc,1,21.0,,21.0,21.0,21.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_mccabe_max,1,2.0,,2.0,2.0,2.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_mi,1,76.5547,,76.5547,76.5547,76.5547
beginner-intermediate,Expert,code_quality_metrics.starter_code_pylint_warning_count,1,3.0,,3.0,3.0,3.0
beginner-intermediate,Expert,code_quality_metrics.starter_code_ruff_error_count,1,7.0,,7.0,7.0,7.0
