source_type,metric,sample_size,mean,std,median,min,max
AI,code_quality_metrics.starter_code_avg_function_loc,1,5.5,,5.5,5.5,5.5
AI,code_quality_metrics.starter_code_comment_line_ratio,1,0.1579,,0.1579,0.1579,0.1579
AI,code_quality_metrics.starter_code_docstring_count,1,0.0,,0.0,0.0,0.0
AI,code_quality_metrics.starter_code_function_count,1,2.0,,2.0,2.0,2.0
AI,code_quality_metrics.starter_code_loc_total,1,19.0,,19.0,19.0,19.0
AI,code_quality_metrics.starter_code_max_function_loc,1,7.0,,7.0,7.0,7.0
AI,code_quality_metrics.starter_code_mccabe_max,1,2.0,,2.0,2.0,2.0
AI,code_quality_metrics.starter_code_mi,1,95.3761,,95.3761,95.3761,95.3761
AI,code_quality_metrics.starter_code_pylint_warning_count,1,9.0,,9.0,9.0,9.0
AI,code_quality_metrics.starter_code_ruff_error_count,1,1.0,,1.0,1.0,1.0
AI,instruction_metrics.avg_sentence_length,1,12.6667,,12.6667,12.6667,12.6667
AI,instruction_metrics.flesch_kincaid_grade,1,11.8248,,11.8248,11.8248,11.8248
AI,instruction_metrics.flesch_reading_ease,1,38.0702,,38.0702,38.0702,38.0702
AI,instruction_metrics.instruction_completeness_ratio,1,1.0,,1.0,1.0,1.0
AI,instruction_metrics.max_sentence_length,1,30.0,,30.0,30.0,30.0
AI,instruction_metrics.technical_term_density_instruction,1,0.0132,,0.0132,0.0132,0.0132
AI,instruction_metrics.var_sentence_length,1,119.5556,,119.5556,119.5556,119.5556
AI,structure_metrics.structure_completeness_ratio,1,0.875,,0.875,0.875,0.875
AI,structure_metrics.structure_score_weighted,1,0.8667,,0.8667,0.8667,0.8667
Expert,instruction_metrics.avg_sentence_length,1,9.0,,9.0,9.0,9.0
Expert,instruction_metrics.flesch_kincaid_grade,1,11.52,,11.52,11.52,11.52
Expert,instruction_metrics.flesch_reading_ease,1,28.5,,28.5,28.5,28.5
Expert,instruction_metrics.instruction_completeness_ratio,1,0.3333,,0.3333,0.3333,0.3333
Expert,instruction_metrics.max_sentence_length,1,9.0,,9.0,9.0,9.0
Expert,instruction_metrics.technical_term_density_instruction,1,0.1111,,0.1111,0.1111,0.1111
Expert,instruction_metrics.var_sentence_length,1,0.0,,0.0,0.0,0.0
Expert,structure_metrics.structure_completeness_ratio,1,0.625,,0.625,0.625,0.625
Expert,structure_metrics.structure_score_weighted,1,0.6333,,0.6333,0.6333,0.6333
