code_quality_metrics.solution_code_avg_function_loc,code_quality_metrics.solution_code_comment_line_ratio,code_quality_metrics.solution_code_docstring_count,code_quality_metrics.solution_code_function_count,code_quality_metrics.solution_code_has_docstring_flag,code_quality_metrics.solution_code_loc_total,code_quality_metrics.solution_code_long_function_flag,code_quality_metrics.solution_code_max_function_loc,code_quality_metrics.solution_code_mccabe_max,code_quality_metrics.solution_code_mi,code_quality_metrics.solution_code_naming_violation_flag,code_quality_metrics.solution_code_pylint_warning_count,code_quality_metrics.solution_code_ruff_error_count,code_quality_metrics.solution_code_static_analysis_ok,code_quality_metrics.solution_code_syntax_parse_ok,code_quality_metrics.starter_code_avg_function_loc,code_quality_metrics.starter_code_comment_line_ratio,code_quality_metrics.starter_code_docstring_count,code_quality_metrics.starter_code_function_count,code_quality_metrics.starter_code_has_docstring_flag,code_quality_metrics.starter_code_loc_total,code_quality_metrics.starter_code_long_function_flag,code_quality_metrics.starter_code_max_function_loc,code_quality_metrics.starter_code_mccabe_max,code_quality_metrics.starter_code_mi,code_quality_metrics.starter_code_naming_violation_flag,code_quality_metrics.starter_code_pylint_warning_count,code_quality_metrics.starter_code_ruff_error_count,code_quality_metrics.starter_code_static_analysis_ok,code_quality_metrics.starter_code_syntax_parse_ok,difficulty,exercise_id,exercise_type,instruction_metrics.avg_sentence_length,instruction_metrics.flesch_kincaid_grade,instruction_metrics.flesch_reading_ease,instruction_metrics.instruction_completeness_ratio,instruction_metrics.instruction_has_background_knowledge,instruction_metrics.instruction_has_constraints,instruction_metrics.instruction_has_eval_criteria,instruction_metrics.instruction_has_io_spec,instruction_metrics.instruction_has_submission_format,instruction_metrics.instruction_has_task_goal,instruction_metrics.max_sentence_length,instruction_metrics.technical_term_density_instruction,instruction_metrics.var_sentence_length,source_type,structure_metrics.constraints_present,structure_metrics.expected_goal_present,structure_metrics.io_spec_present,structure_metrics.solution_or_hint_present,structure_metrics.starter_code_or_env_present,structure_metrics.structure_completeness_ratio,structure_metrics.structure_score_weighted,structure_metrics.task_description_present,structure_metrics.test_cases_present,structure_metrics.title_present,topic
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,0.1905,0,2,False,21,False,4,2,95.5821,False,7,1,False,True,intermediate,AI-DTL-03-01,training-analysis,24.3333,12.8052,36.6518,1.0,True,True,True,True,True,True,35.0,0.0137,67.5556,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,0.3214,0,1,False,28,False,4,1,96.9437,False,7,3,False,True,intermediate-advanced,AI-KER-03-01,model building,24.25,15.9311,29.3799,1.0,True,True,True,True,True,True,58.0,0.0103,408.1875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,24.0,0.2826,1,2,True,46,False,36,3,86.9041,False,19,2,False,True,intermediate-advanced,AI-TRF-01-01,code completion,25.6667,16.6408,21.4716,0.8333,True,True,True,True,False,True,51.0,0.0779,320.8889,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,29.0,0.2069,1,1,True,29,False,29,1,100.0,True,15,0,False,True,intermediate,AI-TRF-02-01,code completion,18.75,11.2318,47.9318,0.8333,True,True,True,True,False,True,41.0,0.04,168.1875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,25.0,0.2,1,1,True,25,False,25,1,100.0,False,9,1,False,True,intermediate-advanced,AI-UVA-02-01,code completion,29.3333,12.6948,42.7863,1.0,True,True,True,True,True,True,48.0,0.0455,198.2222,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,DTL-03,training-analysis,9.0,11.52,28.5,0.3333,True,False,False,False,False,True,9.0,0.1111,0.0,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate-advanced,KER-03,model building,22.0,16.8582,13.3823,0.6667,True,True,False,True,False,True,35.0,0.0,169.0,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8.0,0.0588,0,2,False,17,False,13,3,77.6326,True,11,9,False,True,intermediate-advanced,TRF-01,code completion,14.25,9.7252,49.8278,0.8333,True,True,True,True,False,True,18.0,0.0,8.1875,Expert,True,True,True,True,True,1.0,1.0,True,True,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,0.0,1,2,True,10,False,5,2,70.3267,False,5,6,False,True,intermediate,TRF-02,code completion,12.0,11.215,36.03,0.3333,True,False,False,False,False,True,16.0,0.0417,16.0,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Transformer
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.75,0.0357,0,4,False,28,False,9,4,63.1297,False,7,7,False,True,intermediate-advanced,UVA-02,code completion,30.6667,21.6554,-6.1687,0.8333,True,True,False,True,True,True,47.0,0.0217,133.5556,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,Transformer
