code_quality_metrics.solution_code_avg_function_loc,code_quality_metrics.solution_code_comment_line_ratio,code_quality_metrics.solution_code_docstring_count,code_quality_metrics.solution_code_function_count,code_quality_metrics.solution_code_has_docstring_flag,code_quality_metrics.solution_code_loc_total,code_quality_metrics.solution_code_long_function_flag,code_quality_metrics.solution_code_max_function_loc,code_quality_metrics.solution_code_mccabe_max,code_quality_metrics.solution_code_mi,code_quality_metrics.solution_code_naming_violation_flag,code_quality_metrics.solution_code_pylint_warning_count,code_quality_metrics.solution_code_ruff_error_count,code_quality_metrics.solution_code_static_analysis_ok,code_quality_metrics.solution_code_syntax_parse_ok,code_quality_metrics.starter_code_avg_function_loc,code_quality_metrics.starter_code_comment_line_ratio,code_quality_metrics.starter_code_docstring_count,code_quality_metrics.starter_code_function_count,code_quality_metrics.starter_code_has_docstring_flag,code_quality_metrics.starter_code_loc_total,code_quality_metrics.starter_code_long_function_flag,code_quality_metrics.starter_code_max_function_loc,code_quality_metrics.starter_code_mccabe_max,code_quality_metrics.starter_code_mi,code_quality_metrics.starter_code_naming_violation_flag,code_quality_metrics.starter_code_pylint_warning_count,code_quality_metrics.starter_code_ruff_error_count,code_quality_metrics.starter_code_static_analysis_ok,code_quality_metrics.starter_code_syntax_parse_ok,difficulty,exercise_id,exercise_type,instruction_metrics.avg_sentence_length,instruction_metrics.flesch_kincaid_grade,instruction_metrics.flesch_reading_ease,instruction_metrics.instruction_completeness_ratio,instruction_metrics.instruction_has_background_knowledge,instruction_metrics.instruction_has_constraints,instruction_metrics.instruction_has_eval_criteria,instruction_metrics.instruction_has_io_spec,instruction_metrics.instruction_has_submission_format,instruction_metrics.instruction_has_task_goal,instruction_metrics.max_sentence_length,instruction_metrics.technical_term_density_instruction,instruction_metrics.var_sentence_length,source_type,structure_metrics.constraints_present,structure_metrics.expected_goal_present,structure_metrics.io_spec_present,structure_metrics.solution_or_hint_present,structure_metrics.starter_code_or_env_present,structure_metrics.structure_completeness_ratio,structure_metrics.structure_score_weighted,structure_metrics.task_description_present,structure_metrics.test_cases_present,structure_metrics.title_present,topic
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.3448,0,0,False,29,nan,0,nan,100.0,False,8,4,False,True,intermediate,AI-DTL-01-01,training-analysis,23.6667,13.3115,32.5764,1.0,True,True,True,True,True,True,30.0,0.0141,24.2222,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.0,0.1795,0,3,False,39,False,8,2,88.6579,False,12,2,False,True,intermediate,AI-DTL-02-01,training-analysis,17.4,12.9632,33.8264,1.0,True,True,True,True,True,True,28.0,0.023,61.44,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.75,0.1129,0,4,False,62,False,8,1,79.6363,True,9,0,False,True,beginner-intermediate,AI-OPT-02-01,training-analysis,27.25,12.5355,38.7333,1.0,True,True,True,True,True,True,45.0,0.0092,176.1875,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.4118,0,0,False,17,nan,0,nan,100.0,True,4,1,False,True,intermediate,AI-OPT-03-01,model revision,21.2,10.1066,48.5568,0.8333,True,True,True,True,False,True,29.0,0.0189,45.76,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.3714,0,0,False,35,nan,0,nan,100.0,False,4,2,False,True,intermediate,AI-OPT-04-01,model revision,16.3333,11.3426,35.5604,1.0,True,True,True,True,True,True,22.0,0.0306,18.5556,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.2353,0,0,False,34,nan,0,nan,100.0,False,5,3,False,True,intermediate,AI-OPT-05-01,model revision,20.4,11.6542,41.4898,1.0,True,True,True,True,True,True,26.0,0.0098,13.04,AI,True,True,True,False,True,0.875,0.8667,True,True,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,DTL-01,training-analysis,9.0,8.4607,50.4333,0.5,True,False,False,False,True,True,13.0,0.0,14.0,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,intermediate,DTL-02,training-analysis,6.6667,5.89,64.7083,0.3333,True,False,False,False,False,True,11.0,0.0,10.8889,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21.0,0.0,0,1,False,21,False,21,2,76.5547,False,3,7,False,True,beginner-intermediate,OPT-02,training-analysis,12.5,8.1111,59.7676,0.8333,True,True,False,True,True,True,17.0,0.0,13.9167,Expert,True,True,True,True,True,0.875,0.8778,True,False,True,Optimization
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0,0,False,12,nan,0,nan,100.0,False,3,17,False,True,intermediate,OPT-03,model revision,17.0,9.0871,60.1918,0.3333,True,False,False,False,False,True,21.0,0.0294,16.0,Expert,False,True,False,True,True,0.625,0.6333,True,False,True,Optimization
