difficulty,source_type,metric,sample_size,mean,std,median,min,max
beginner,AI,code_quality_metrics.starter_code_avg_function_loc,2,14.0,7.0710678118654755,14.0,9.0,19.0
beginner,AI,code_quality_metrics.starter_code_comment_line_ratio,2,0.23025,0.027930717856868632,0.23025,0.2105,0.25
beginner,AI,code_quality_metrics.starter_code_docstring_count,2,0.5,0.7071067811865476,0.5,0.0,1.0
beginner,AI,code_quality_metrics.starter_code_function_count,2,1.0,0.0,1.0,1.0,1.0
beginner,AI,code_quality_metrics.starter_code_loc_total,2,19.5,0.7071067811865476,19.5,19.0,20.0
beginner,AI,code_quality_metrics.starter_code_max_function_loc,2,14.0,7.0710678118654755,14.0,9.0,19.0
beginner,AI,code_quality_metrics.starter_code_mccabe_max,2,1.0,0.0,1.0,1.0,1.0
beginner,AI,code_quality_metrics.starter_code_mi,2,95.88069999999999,5.825569927483493,95.88069999999999,91.7614,100.0
beginner,AI,code_quality_metrics.starter_code_pylint_warning_count,2,11.5,0.7071067811865476,11.5,11.0,12.0
beginner,AI,code_quality_metrics.starter_code_ruff_error_count,2,2.0,0.0,2.0,2.0,2.0
beginner,AI,instruction_metrics.avg_sentence_length,2,17.83335,1.649892252542572,17.83335,16.6667,19.0
beginner,AI,instruction_metrics.flesch_kincaid_grade,2,11.6922,3.218891489317401,11.6922,9.4161,13.9683
beginner,AI,instruction_metrics.flesch_reading_ease,2,39.5997,13.82110914507226,39.5997,29.8267,49.3727
beginner,AI,instruction_metrics.instruction_completeness_ratio,2,0.91665,0.11787470042379744,0.91665,0.8333,1.0
beginner,AI,instruction_metrics.max_sentence_length,2,34.0,2.8284271247461903,34.0,32.0,36.0
beginner,AI,instruction_metrics.technical_term_density_instruction,2,0.03,0.042426406871192854,0.03,0.0,0.06
beginner,AI,instruction_metrics.var_sentence_length,2,114.7778,3.9284024335599823,114.7778,112.0,117.5556
beginner,AI,structure_metrics.structure_completeness_ratio,2,0.875,0.0,0.875,0.875,0.875
beginner,AI,structure_metrics.structure_score_weighted,2,0.8667,0.0,0.8667,0.8667,0.8667
beginner,Expert,code_quality_metrics.starter_code_avg_function_loc,2,3.0,4.242640687119285,3.0,0.0,6.0
beginner,Expert,code_quality_metrics.starter_code_comment_line_ratio,2,0.1111,0.15711912677965087,0.1111,0.0,0.2222
beginner,Expert,code_quality_metrics.starter_code_docstring_count,2,0.0,0.0,0.0,0.0,0.0
