source_type,metric,sample_size,mean,std,median,min,max
AI,code_quality_metrics.starter_code_avg_function_loc,6,11.166666666666666,12.659647177811344,6.25,0.0,33.0
AI,code_quality_metrics.starter_code_comment_line_ratio,6,0.37643333333333334,0.25076580840829693,0.2857,0.2105,0.875
AI,code_quality_metrics.starter_code_docstring_count,6,0.3333333333333333,0.5163977794943223,0.0,0.0,1.0
AI,code_quality_metrics.starter_code_function_count,6,1.1666666666666667,0.752772652709081,1.0,0.0,2.0
AI,code_quality_metrics.starter_code_loc_total,6,17.833333333333332,7.250287350627331,19.5,8.0,28.0
AI,code_quality_metrics.starter_code_max_function_loc,6,11.333333333333334,12.53262409340784,6.5,0.0,33.0
AI,code_quality_metrics.starter_code_mccabe_max,5,1.4,0.5477225575051661,1.0,1.0,2.0
AI,code_quality_metrics.starter_code_mi,6,92.01533333333333,15.868247638938167,100.0,60.3306,100.0
AI,code_quality_metrics.starter_code_pylint_warning_count,6,11.166666666666666,4.119061381755152,11.5,4.0,16.0
AI,code_quality_metrics.starter_code_ruff_error_count,6,1.1666666666666667,0.752772652709081,1.0,0.0,2.0
AI,instruction_metrics.avg_sentence_length,6,19.69445,3.1259175246637585,19.75,15.8333,23.6667
AI,instruction_metrics.flesch_kincaid_grade,6,12.016399999999999,2.0886689886145193,11.703050000000001,9.4161,14.9132
AI,instruction_metrics.flesch_reading_ease,6,39.90303333333333,9.09140696716777,40.2659,29.8267,49.392
AI,instruction_metrics.instruction_completeness_ratio,6,0.8888666666666668,0.0860835098417035,0.8333,0.8333,1.0
AI,instruction_metrics.max_sentence_length,6,31.666666666666668,4.760952285695233,32.0,23.0,36.0
AI,instruction_metrics.technical_term_density_instruction,6,0.025150000000000002,0.02813792813979025,0.02105,0.0,0.06
AI,instruction_metrics.var_sentence_length,6,75.54166666666667,38.56064942495998,81.2361,24.4722,117.5556
AI,structure_metrics.structure_completeness_ratio,6,0.875,0.0,0.875,0.875,0.875
AI,structure_metrics.structure_score_weighted,6,0.8666999999999999,1.2161883888976234e-16,0.8667,0.8667,0.8667
Expert,code_quality_metrics.starter_code_avg_function_loc,3,14.333333333333334,19.857828011475306,6.0,0.0,37.0
Expert,code_quality_metrics.starter_code_comment_line_ratio,4,0.18432500000000002,0.12462352306045596,0.2323,0.0,0.2727
Expert,code_quality_metrics.starter_code_docstring_count,3,0.3333333333333333,0.5773502691896258,0.0,0.0,1.0
Expert,code_quality_metrics.starter_code_function_count,3,0.6666666666666666,0.5773502691896258,1.0,0.0,1.0
Expert,code_quality_metrics.starter_code_loc_total,4,19.0,10.862780491200215,17.0,9.0,33.0
Expert,code_quality_metrics.starter_code_max_function_loc,3,14.333333333333334,19.857828011475306,6.0,0.0,37.0
Expert,code_quality_metrics.starter_code_mccabe_max,2,1.0,0.0,1.0,1.0,1.0
Expert,code_quality_metrics.starter_code_mi,3,100.0,0.0,100.0,100.0,100.0
Expert,code_quality_metrics.starter_code_pylint_warning_count,3,4.333333333333333,3.214550253664318,3.0,2.0,8.0
Expert,code_quality_metrics.starter_code_ruff_error_count,3,5.0,7.0,2.0,0.0,13.0
Expert,instruction_metrics.avg_sentence_length,6,19.608333333333334,7.170803069856728,17.375,11.4,28.5
Expert,instruction_metrics.flesch_kincaid_grade,6,10.598483333333334,3.265500894758209,10.423449999999999,6.4651,15.37
Expert,instruction_metrics.flesch_reading_ease,6,51.97774999999999,12.425516446047626,48.7706,39.1289,74.2402
Expert,instruction_metrics.instruction_completeness_ratio,6,0.6666833333333333,0.21082905318448564,0.6667,0.3333,1.0
Expert,instruction_metrics.max_sentence_length,6,25.833333333333332,3.5449494589721118,25.5,21.0,31.0
Expert,instruction_metrics.technical_term_density_instruction,6,0.02205,0.04218908626647418,0.0044,0.0,0.1071
Expert,instruction_metrics.var_sentence_length,6,25.7157,26.519566309425198,21.96875,0.0,63.44
Expert,structure_metrics.structure_completeness_ratio,6,0.8333333333333334,0.10206207261596574,0.875,0.625,0.875
Expert,structure_metrics.structure_score_weighted,6,0.83705,0.09981670701841452,0.8778,0.6333,0.8778
