difficulty,source_type,metric,sample_size,mean,std,median,min,max
beginner,AI,code_quality_metrics.starter_code_avg_function_loc,2,12.5,9.192388155425117,12.5,6.0,19.0
beginner,AI,code_quality_metrics.starter_code_comment_line_ratio,2,0.18214999999999998,0.040092954493277246,0.18214999999999998,0.1538,0.2105
beginner,AI,code_quality_metrics.starter_code_docstring_count,2,0.5,0.7071067811865476,0.5,0.0,1.0
beginner,AI,code_quality_metrics.starter_code_function_count,2,1.0,0.0,1.0,1.0,1.0
beginner,AI,code_quality_metrics.starter_code_loc_total,2,16.0,4.242640687119285,16.0,13.0,19.0
beginner,AI,code_quality_metrics.starter_code_max_function_loc,2,12.5,9.192388155425117,12.5,6.0,19.0
beginner,AI,code_quality_metrics.starter_code_mccabe_max,2,1.0,0.0,1.0,1.0,1.0
beginner,AI,code_quality_metrics.starter_code_mi,2,97.755,3.1749094475275945,97.755,95.51,100.0
beginner,AI,code_quality_metrics.starter_code_pylint_warning_count,2,11.0,1.4142135623730951,11.0,10.0,12.0
beginner,AI,code_quality_metrics.starter_code_ruff_error_count,2,2.0,0.0,2.0,2.0,2.0
beginner,AI,instruction_metrics.avg_sentence_length,2,16.933349999999997,0.3771000464067862,16.933349999999997,16.6667,17.2
beginner,AI,instruction_metrics.flesch_kincaid_grade,2,11.0723,2.3422205020023203,11.0723,9.4161,12.7285
beginner,AI,instruction_metrics.flesch_reading_ease,2,42.26275,10.054987717794589,42.26275,35.1528,49.3727
beginner,AI,instruction_metrics.instruction_completeness_ratio,2,0.91665,0.11787470042379744,0.91665,0.8333,1.0
beginner,AI,instruction_metrics.max_sentence_length,2,33.5,2.1213203435596424,33.5,32.0,35.0
beginner,AI,instruction_metrics.technical_term_density_instruction,2,0.03,0.042426406871192854,0.03,0.0,0.06
beginner,AI,instruction_metrics.var_sentence_length,2,108.2578,13.149074860232567,108.2578,98.96,117.5556
beginner,AI,structure_metrics.structure_completeness_ratio,2,0.875,0.0,0.875,0.875,0.875
beginner,AI,structure_metrics.structure_score_weighted,2,0.8667,0.0,0.8667,0.8667,0.8667
beginner,Expert,code_quality_metrics.starter_code_avg_function_loc,2,3.0,4.242640687119285,3.0,0.0,6.0
beginner,Expert,code_quality_metrics.starter_code_comment_line_ratio,2,0.1111,0.15711912677965087,0.1111,0.0,0.2222
beginner,Expert,code_quality_metrics.starter_code_docstring_count,2,0.0,0.0,0.0,0.0,0.0
beginner,Expert,code_quality_metrics.starter_code_function_count,2,0.5,0.7071067811865476,0.5,0.0,1.0
beginner,Expert,code_quality_metrics.starter_code_loc_total,2,10.5,2.1213203435596424,10.5,9.0,12.0
beginner,Expert,code_quality_metrics.starter_code_max_function_loc,2,3.0,4.242640687119285,3.0,0.0,6.0
beginner,Expert,code_quality_metrics.starter_code_mccabe_max,1,1.0,,1.0,1.0,1.0
beginner,Expert,code_quality_metrics.starter_code_mi,2,100.0,0.0,100.0,100.0,100.0
beginner,Expert,code_quality_metrics.starter_code_pylint_warning_count,2,5.0,4.242640687119285,5.0,2.0,8.0
beginner,Expert,code_quality_metrics.starter_code_ruff_error_count,2,7.5,7.7781745930520225,7.5,2.0,13.0
beginner,Expert,instruction_metrics.avg_sentence_length,2,23.75,6.010407640085654,23.75,19.5,28.0
